feature,albumName,avg,max,min
acousticness,All We Know Is Falling,0.00464502,0.0226,0.0000702
danceability,All We Know Is Falling,0.4709,0.519,0.333
durationMs,All We Know Is Falling,215118.5,240040,185733
energy,All We Know Is Falling,0.8716000000000002,0.94,0.692
instrumentalness,All We Know Is Falling,0.00034837599999999996,0.00345,0
liveness,All We Know Is Falling,0.14847000000000002,0.277,0.0543
loudness,All We Know Is Falling,-4.0409,-2.989,-5.267
speechiness,All We Know Is Falling,0.06301999999999999,0.14,0.0261
tempo,All We Know Is Falling,151.3898,194.817,120.012
valence,All We Know Is Falling,0.44200000000000006,0.661,0.209
acousticness,Riot!,0.0012404818181818182,0.00576,0.0000943
danceability,Riot!,0.520909090909091,0.655,0.396
durationMs,Riot!,212027.81818181818,238627,189373
energy,Riot!,0.8401818181818181,0.95,0.611
instrumentalness,Riot!,0.0016930809090909091,0.0185,0
liveness,Riot!,0.14609090909090908,0.279,0.0792
loudness,Riot!,-3.7207272727272724,-2.25,-5.675
speechiness,Riot!,0.047509090909090904,0.0735,0.0324
tempo,Riot!,142.80481818181818,202.108,92.537
valence,Riot!,0.5414545454545454,0.838,0.186
acousticness,Brand New Eyes,0.08145697272727272,0.73,0.0000808
danceability,Brand New Eyes,0.4818181818181818,0.583,0.395
durationMs,Brand New Eyes,219436.54545454544,267653,181507
energy,Brand New Eyes,0.831,0.98,0.266
instrumentalness,Brand New Eyes,0.0032227363636363636,0.0322,0
liveness,Brand New Eyes,0.17814545454545455,0.332,0.0387
loudness,Brand New Eyes,-4.286272727272728,-2.175,-11.217
speechiness,Brand New Eyes,0.0621,0.108,0.0272
tempo,Brand New Eyes,153.7157272727273,195.972,106.46
valence,Brand New Eyes,0.45763636363636356,0.649,0.152
acousticness,Singles Club,0.041264060000000005,0.165,0.00000544
danceability,Singles Club,0.45775000000000005,0.519,0.413
durationMs,Singles Club,199253.25,208095,185660
energy,Singles Club,0.79025,0.969,0.368
instrumentalness,Singles Club,0.0047088699999999995,0.0163,0.00000248
liveness,Singles Club,0.21225,0.371,0.108
loudness,Singles Club,-3.944,-2.599,-7.661
speechiness,Singles Club,0.0577,0.119,0.0277
tempo,Singles Club,120.05574999999999,164.999,75.004
valence,Singles Club,0.4445,0.716,0.113
acousticness,Paramore,0.17197756470588238,0.965,0.0000285
danceability,Paramore,0.5188823529411765,0.739,0.369
durationMs,Paramore,225767,470933,52600
energy,Paramore,0.7459411764705882,0.99,0.258
instrumentalness,Paramore,0.01036147176470588,0.174,0
liveness,Paramore,0.22238823529411766,0.799,0.021
loudness,Paramore,-6.366764705882352,-3.091,-15.356
speechiness,Paramore,0.059552941176470586,0.0921,0.0262
tempo,Paramore,125.46217647058823,195.955,79.994
valence,Paramore,0.512235294117647,0.824,0.109
acousticness,After Laughter,0.12148045333333334,0.852,0.00000514
danceability,After Laughter,0.6671666666666667,0.786,0.511
durationMs,After Laughter,213207.75,260213,182693
energy,After Laughter,0.7253333333333333,0.856,0.286
instrumentalness,After Laughter,0.07892789583333333,0.852,0.00000314
liveness,After Laughter,0.11516666666666668,0.324,0.0219
loudness,After Laughter,-6.497166666666666,-3.763,-10.917
speechiness,After Laughter,0.038066666666666665,0.0505,0.0266
tempo,After Laughter,114.569,154.904,90.004
valence,After Laughter,0.6719166666666668,0.926,0.242
acousticness,Petals For Armor,0.2474333333333333,0.569,0.0613
danceability,Petals For Armor,0.7242,0.877,0.564
durationMs,Petals For Armor,223417.2,321045,165574
energy,Petals For Armor,0.5899333333333333,0.86,0.339
instrumentalness,Petals For Armor,0.058761642666666655,0.451,0.00000214
liveness,Petals For Armor,0.1539466666666667,0.38,0.0518
loudness,Petals For Armor,-7.812266666666668,-4.587,-12.195
speechiness,Petals For Armor,0.048926666666666674,0.0785,0.0296
tempo,Petals For Armor,104.52606666666667,143.993,78.483
valence,Petals For Armor,0.5838,0.896,0.336
