name,trackNumber,albumName,id,acousticness,danceability,durationMs,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,timeSignature,valence
All We Know,1,All We Know Is Falling,4chdIr2d5FwtO0vmie4lA4,0.00161,0.496,193573,0.906,0,7,0.151,-3.366,1,0.0705,159.878,4,0.367
Pressure,2,All We Know Is Falling,7mG2RbhyzGsjpQOz568d39,0.00166,0.509,185733,0.887,0.00000798,2,0.0994,-3.785,1,0.0958,161.99,4,0.661
Emergency,3,All We Know Is Falling,3i4xZSH1kTLE22TUvUFMYo,0.00276,0.424,240040,0.94,0.00000103,9,0.277,-3.524,1,0.0573,168.043,4,0.559
Brighter,4,All We Know Is Falling,3GoNxPKPZPaAAZVQZ003TI,0.00523,0.501,223280,0.929,0.00000184,9,0.167,-2.989,1,0.0539,146.982,4,0.455
Here We Go Again,5,All We Know Is Falling,5Pp1H1mFlL6o63omITUvfn,0.0000702,0.508,226293,0.848,0,9,0.132,-5.267,1,0.0383,120.012,4,0.544
Never Let This Go,6,All We Know Is Falling,2itu79WbZhUCHX4jg0fyAd,0.0226,0.519,220967,0.88,0,6,0.135,-3.929,1,0.0447,144.968,4,0.529
Whoa,7,All We Know Is Falling,2f6wopjc38goVUV087wvln,0.00845,0.333,201340,0.931,0.00000171,4,0.122,-3.645,1,0.14,194.817,4,0.422
Conspiracy,8,All We Know Is Falling,21aVkXDch0A1nXo9he3j8L,0.00208,0.487,222013,0.905,0.00345,2,0.117,-4.337,0,0.0562,145.025,4,0.317
Franklin,9,All We Know Is Falling,3mohHx7VTiOurTv8XbTYrY,0.00074,0.494,198773,0.692,0.0000212,0,0.23,-4.936,1,0.0261,137.095,4,0.209
My Heart,10,All We Know Is Falling,5wWkbQ18TPaWq2GeJDF2O3,0.00125,0.438,239173,0.798,0,4,0.0543,-4.631,1,0.0474,135.088,3,0.357
For a Pessimist, I'm Pretty Optimistic,1,Riot!,2IBM7pWht51SaU52GZGiEc,0.00017,0.537,228293,0.927,0.00000678,6,0.115,-3.322,1,0.0476,102.445,4,0.379
That's What You Get,2,Riot!,0UY4FvG4f9JI6kBR1BlWrZ,0.0000943,0.528,220480,0.831,0,8,0.141,-3.607,1,0.0429,131.094,3,0.632
Hallelujah,3,Riot!,0Xo58q108awPXG1QDBGtaf,0.000787,0.396,203640,0.863,0.00000195,11,0.279,-2.646,1,0.0453,150.778,4,0.438
Misery Business,4,Riot!,3l9CW99AHtExIRV4hW2N5m,0.00272,0.517,211520,0.906,0.00000926,1,0.113,-3.677,1,0.0735,172.977,4,0.731
When It Rains,5,Riot!,5MNsy8G3K0Y09QFpktzyrj,0.000819,0.655,215093,0.733,0.0000401,8,0.0792,-4.401,1,0.0324,116.984,4,0.569
Let the Flames Begin,6,Riot!,2myJNvcL71V5IZ1N2NW29O,0.000202,0.514,198227,0.92,0.0185,6,0.25,-3.541,0,0.0385,161,4,0.334
Miracle,7,Riot!,3yRZ7wWTVYFgn5vcUjL2Pz,0.000285,0.467,209747,0.888,0.00000165,1,0.146,-3.215,0,0.0681,163.014,4,0.561
crushcrushcrush,8,Riot!,4m9NfjevXsDVaLtM1kj0Sx,0.000218,0.631,189373,0.793,0.0000565,1,0.0976,-4.086,0,0.0468,136.96,4,0.648
We Are Broken,9,Riot!,3atrFJhUzDm5xiutqfEPkP,0.00576,0.489,218333,0.611,0.00000765,6,0.0917,-5.675,1,0.0337,140.956,4,0.186
Fences,10,Riot!,1GLco0U2FinSfaZuAXWsw3,0.00153,0.452,198973,0.82,0,11,0.21,-4.508,0,0.0325,202.108,4,0.838
Born for This,11,Riot!,18ebEqq0lUpTj3MCv5xb9T,0.00106,0.544,238627,0.95,0,1,0.0845,-2.25,1,0.0613,92.537,4,0.64
Careful,1,Brand New Eyes,63L9AjBDN3SOMbJlBkFqiZ,0.00019,0.417,230440,0.945,0.0000863,8,0.2,-3.703,1,0.0805,164.997,4,0.607
Ignorance,2,Brand New Eyes,47No93LxERvV6MtOAmQzHS,0.00109,0.522,218627,0.964,0.000389,11,0.0387,-2.645,0,0.095,170.944,4,0.51
Playing God,3,Brand New Eyes,7hInOqJnlEayXao08yVYAn,0.00105,0.583,182800,0.96,0.0000297,1,0.0801,-3.597,0,0.0511,137.991,4,0.626
Brick by Boring Brick,4,Brand New Eyes,1a9YW7fATU351ok4zWjU7a,0.0000956,0.436,253947,0.942,0.000438,9,0.209,-2.206,1,0.0496,164.975,4,0.5
Turn It Off,5,Brand New Eyes,0q99swv2f9L5m8JHkF3sDC,0.0000808,0.573,259720,0.902,0.000102,0,0.304,-3.209,1,0.0299,111.944,4,0.304
The Only Exception,6,Brand New Eyes,7JIuqL4ZqkpfGKQhYlrirs,0.144,0.452,267653,0.563,0,4,0.143,-6.607,1,0.0272,137.715,3,0.209
Feeling Sorry,7,Brand New Eyes,2F9JloTNvfkIvwXJP0bZUO,0.000109,0.395,185147,0.928,0.000136,1,0.0938,-3.672,0,0.0604,195.862,3,0.649
Looking Up,8,Brand New Eyes,3mzV0WDATjcpzcTNK2TLJw,0.000125,0.416,209427,0.98,0,4,0.332,-2.175,1,0.108,195.972,4,0.612
Where the Lines Overlap,9,Brand New Eyes,0ZgpvjwRIwTEUkDPWHhTE3,0.0000863,0.445,198747,0.968,0.00202,4,0.309,-3.559,1,0.103,159.977,4,0.629
Misguided Ghosts,10,Brand New Eyes,2VYqkb77OjToeRAnMNd4yU,0.73,0.567,181507,0.266,0.0000491,0,0.116,-11.217,1,0.0343,106.46,4,0.236
All I Wanted,11,Brand New Eyes,1Bv3h7Vc4AaYA2BcSM3rVd,0.0192,0.494,225787,0.723,0.0322,6,0.134,-4.559,0,0.0441,144.036,4,0.152
Monster,1,Singles Club,04BSvYghzdxjSJNpee36er,0.0000287,0.413,200147,0.969,0.000753,4,0.371,-2.599,0,0.119,164.999,4,0.374
Renegade,2,Singles Club,6M9Da8TDERZzTdBYkxMRji,0.00000544,0.462,208095,0.911,0.00178,1,0.108,-2.741,1,0.0346,155.027,4,0.575
Hello Cold World,3,Singles Club,1V8qfqICVnpmex8g9yn1Pc,0.0000221,0.519,203111,0.913,0.0163,8,0.248,-2.775,1,0.0495,75.004,4,0.716
In the Mourning,4,Singles Club,2NSjoft78kEQSUgpOXeMDg,0.165,0.437,185660,0.368,0.00000248,10,0.122,-7.661,1,0.0277,85.193,1,0.113
Fast in My Car,1,Paramore,6r9cqn3KG824MXSo7sHPlK,0.0000285,0.592,222693,0.99,0.00000979,11,0.114,-3.091,0,0.0686,128.014,4,0.824
Now,2,Paramore,0LBz07gAdgUukYvpFyW87y,0.000569,0.419,250880,0.951,0.000342,0,0.196,-3.201,1,0.0897,161.922,4,0.326
Grow Up,3,Paramore,0M8MIyYKkq2ETYuM57LzI0,0.0135,0.538,230907,0.884,0.00000208,2,0.0947,-4.364,1,0.0441,92.999,4,0.426
Daydreaming,4,Paramore,6sW6EvagT9ljwokJlG6obt,0.000542,0.495,271027,0.909,0.000503,2,0.363,-5.575,1,0.0525,150.027,4,0.335
Interlude: Moving On,5,Paramore,6pqJNsWUnHm74pDm0h6iDL,0.917,0.392,90320,0.3,0,0,0.0868,-11.371,1,0.0795,195.955,4,0.657
Ain't It Fun,6,Paramore,1j8z4TTjJ1YOdoFEDwJTQa,0.154,0.61,296520,0.893,0.0000441,9,0.021,-3.681,1,0.0921,104.031,4,0.673
Part II,7,Paramore,6SFbRVZMfbLsXHXc7JqzRs,0.000666,0.435,281240,0.896,0.000227,2,0.104,-5.014,0,0.0601,158.963,4,0.49
Last Hope,8,Paramore,2VBluJiNj9bKohWX0dY1Lh,0.00411,0.465,309973,0.711,0.000548,5,0.164,-6.178,1,0.0265,101.46,4,0.255
Still into You,9,Paramore,1yjY7rpaAQvKwpdUliHx0d,0.0098,0.602,216013,0.923,0,5,0.0561,-3.763,1,0.044,136.01,4,0.765
Anklebiters,10,Paramore,3hgzEGrm5iTY6pkgJ827qX,0.00015,0.545,137933,0.979,0.0000011,4,0.684,-3.875,1,0.0914,115.003,4,0.8
Interlude: Holiday,11,Paramore,6IAaP75vqVa1fVb7ZOua94,0.811,0.739,69680,0.258,0.0000458,4,0.143,-15.356,0,0.0589,79.994,4,0.566
Proof,12,Paramore,71ZzqIzSNKye1tmtn0dSlk,0.00171,0.576,195387,0.952,0.000377,3,0.507,-4.086,1,0.0359,107.99,4,0.776
Hate to See Your Heart Break (feat. Joy Williams),13,Paramore,3AX4HIRJY6GT6tgMkO5987,0.0117,0.592,309293,0.656,0.0000411,5,0.117,-8.007,1,0.0262,102.991,4,0.436
(One of Those) Crazy Girls,14,Paramore,6JmV5cyTQ934NxLY4Z0tg1,0.0256,0.45,212560,0.787,0.00000102,6,0.109,-3.913,1,0.0403,122.994,4,0.486
Interlude: I'm Not Angry Anymore,15,Paramore,2GBjsCkCpR5w8Zri9aE49H,0.965,0.469,52600,0.309,0,7,0.115,-13.694,1,0.091,112.412,4,0.235
Be Alone,16,Paramore,07isIbQefUUFa28iA0dzHR,0.0000831,0.369,220080,0.977,0.00000303,2,0.799,-3.639,1,0.0768,160.087,4,0.549
